작업ID,주차,PRD_참조,대분류,작업그룹,선행작업,상태,비고
W2-15,2주차,전체,프로젝트관리,2주차 산출물 정리 및 클라이언트 리뷰,W2-14,대기,주간 보고
W3-01,3주차,3,OCR시스템,Python OCR 코드 C# 통합,W1-06,대기,견적서 3주차 - OCR 통합
W3-02,3주차,3,OCR시스템,OCR 처리 시작 화면 UI,W3-01,대기,처리 대상 선택
W3-03,3주차,3,OCR시스템,배치 처리 로직 (50~100개씩),W3-01,대기,대량 처리 최적화
W3-04,3주차,3,OCR시스템,멀티프로세싱 최적화,W3-03,대기,3000개 대응
W3-05,3주차,3,OCR시스템,OCR 진행 화면 (실시간 진행률),W3-02,대기,현재 처리 파일 표시
W3-06,3주차,3,OCR시스템,OCR 결과 JSON 파싱 및 DB 저장,W3-04,대기,추출 데이터 저장
W3-07,3주차,3,OCR시스템,오류 파일 목록 및 재처리 기능,W3-06,대기,실패 파일 관리
W3-08,3주차,4,데이터표시,등기부 정보 화면 UI,W1-09,대기,OCR 추출 데이터 표시
W3-09,3주차,4,데이터표시,OCR 데이터 구조화 표시 (소유자/권리/토지),W3-08,대기,JSON → UI 변환
W3-10,3주차,4,데이터표시,등기부 정보 그리드 및 상세,W3-09,대기,항목 리스트 표시
W3-11,3주차,2,데이터업로드,파일 관리 화면 (목록 조회),W2-14,대기,업로드된 PDF 목록
W3-12,3주차,2,데이터업로드,파일 미리보기 (PDF 뷰어),W3-11,대기,WebView PDF 표시
W3-13,3주차,2,데이터업로드,파일 삭제 및 재업로드,W3-11,대기,Storage + DB 동기화
W3-14,3주차,전체,프로젝트관리,3주차 산출물 정리 및 클라이언트 리뷰,W3-13,대기,주간 보고
W4-01,4주차,4,데이터편집,데이터 수정 모달 UI,W2-09,대기,견적서 4주차 - 편집 기능
W4-02,4주차,4,데이터편집,실시간 데이터 수정 (Supabase UPDATE),W4-01,대기,인라인 편집
W4-03,4주차,4,데이터편집,데이터 병합 화면,W4-01,대기,병합 대상 선택/규칙 설정
W4-04,4주차,4,데이터편집,병합 로직 처리 (중복 제거/필드 병합),W4-03,대기,데이터 통합
W4-05,4주차,4,데이터편집,삭제 확인 모달 및 소프트 딜리트,W4-01,대기,삭제 처리
W4-06,4주차,4,데이터편집,변경 이력 저장,W4-02,대기,audit_logs 테이블
W4-07,4주차,4,데이터표시,권리 분석 화면 UI,W1-09,대기,근저당/가압류/가등기
W4-08,4주차,4,데이터표시,권리 분석 계산 로직,W4-07,대기,권리관계 분석
W4-09,4주차,4,데이터표시,권리관계 시각화 (그래프),W4-08,대기,분석 결과 차트
W4-10,4주차,10,물건관리,물건 상세 화면 탭 구조,W1-09,대기,5개 탭 레이아웃
W4-11,4주차,10,물건관리,기초 데이터 탭 통합,W4-10,대기,기존 화면 탭에 배치
W4-12,4주차,10,물건관리,등기부 정보 탭 통합,W4-10,대기,기존 화면 탭에 배치
W4-13,4주차,10,물건관리,권리 분석 탭 통합,W4-10,대기,기존 화면 탭에 배치
W4-14,4주차,7,지도연동,HTML 지도 코드 WebView 통합,W1-02,대기,클라이언트 제공 코드
W4-15,4주차,7,지도연동,지도 탭 화면 구조,W4-10,대기,WebView 컨트롤 배치
W4-16,4주차,7,지도연동,C# ↔ JavaScript 통신,W4-14,대기,물건 데이터 전달
W4-17,4주차,10,물건관리,탭별 데이터 공유 및 저장,W4-13,대기,전체 탭 데이터 저장
W4-18,4주차,5,데이터처리,자동 데이터 매칭 (데이터 디스크 ↔ 등기부),W3-06,대기,1단계 - 주소/물건번호 매칭
W4-19,4주차,5,데이터처리,계산 수식 자동 적용,W4-18,대기,1단계 - 복잡한 계산 수식 실행
W4-20,4주차,5,데이터처리,데이터 검증 (필수 항목/오류),W4-19,대기,1단계 - 필수 체크/형식 검증
W4-21,4주차,전체,프로젝트관리,4주차 산출물 정리 및 클라이언트 리뷰,W4-20,대기,주간 보고
W5-01,5주차,6,Excel출력,Excel 출력 설정 화면,W1-09,대기,1단계 - 출력 대상 선택
W5-02,5주차,6,Excel출력,출력 대상 선택 (전체/선택/필터),W5-01,대기,1단계 - 데이터 범위 선택
W5-03,5주차,6,Excel출력,시트 구성 선택 및 미리보기,W5-02,대기,1단계 - 다중 시트 구조
W5-04,5주차,6,Excel출력,여러 시트 데이터 쿼리 및 통합,W5-03,대기,1단계 - 비핵심 전체 형태
W5-05,5주차,6,Excel출력,EPPlus/ClosedXML Excel 생성,W5-04,대기,1단계 - 다중 시트 생성
W5-06,5주차,6,Excel출력,수식 자동 적용 (SUM/AVERAGE),W5-05,대기,1단계 - 계산 수식 적용
W5-07,5주차,6,Excel출력,스타일 및 포맷 적용,W5-06,대기,1단계 - 헤더/색상/테두리
W5-08,5주차,6,Excel출력,파일 저장 및 열기,W5-07,대기,1단계 - 완료 화면
W5-09,5주차,10,물건관리,물건 목록 화면 (검색/필터/정렬),W1-09,대기,1단계 - 목록 관리
W5-10,5주차,10,물건관리,페이지네이션 (50~100개),W5-09,대기,1단계 - 대량 데이터 표시
W5-11,5주차,10,물건관리,평가 시트 탭 UI,W4-10,대기,1단계 - 평가 입력 폼
W5-12,5주차,10,물건관리,평가 데이터 입력 및 저장,W5-11,대기,1단계 - 평가자 작업 영역
W5-13,5주차,전체,프로젝트관리,5주차 산출물 정리 및 클라이언트 리뷰,W5-12,대기,💰 핵심 기능 완료 + 중도금
W6-01,6주차,7,지도연동,지도 레이어 표시 (지적도/위성/로드뷰),W4-16,대기,2단계 - 지도 기능
W6-02,6주차,7,지도연동,토지이용계획 및 건축물 대장 표시,W6-01,대기,2단계 - 추가 레이어
W6-03,6주차,7,지도연동,물건 마커 표시 (위도/경도),W6-01,대기,2단계 - 마커 생성 및 표시
W6-04,6주차,7,지도연동,마커 클릭 정보 팝업,W6-03,대기,2단계 - 매매가/토지/건물 정보
W6-05,6주차,7,지도연동,레이어 토글 및 확대/축소,W6-02,대기,2단계 - 지도 컨트롤
W6-06,6주차,8,유사물건추천,클라이언트 추천 알고리즘 C# 통합,W1-02,대기,2단계 - 제공 알고리즘 통합
W6-07,6주차,8,유사물건추천,Supabase 과거 경매 데이터 연동,W6-06,대기,2단계 - 추천 데이터 소스
W6-08,6주차,8,유사물건추천,추천 실행 화면 UI,W1-09,대기,2단계 - 기준 물건 선택
W6-09,6주차,8,유사물건추천,유사도 계산 처리,W6-07,대기,2단계 - 위치/면적/가격 비교
W6-10,6주차,8,유사물건추천,추천 결과 리스트 (유사도 점수),W6-09,대기,2단계 - 유사도 높은 순 정렬
W6-11,6주차,8,유사물건추천,추천 물건 상세 화면,W6-10,대기,2단계 - 비교 정보 표시
W6-12,6주차,8,유사물건추천,사례 지도 화면,W6-03,대기,2단계 - 추천 물건 마커 표시
W6-13,6주차,8,유사물건추천,사례 지도 마커 및 팝업,W6-12,대기,2단계 - 추천 물건 정보
W6-14,6주차,9,통계분석,통계 대시보드 UI,W1-09,대기,2단계 - 통계 분석
W6-15,6주차,9,통계분석,주요 통계 카드 표시 (전체 물건/평균 가격),W6-14,대기,2단계 - KPI 카드
W6-16,6주차,9,통계분석,필터 패널 (기간/지역/타입),W6-14,대기,2단계 - 통계 필터링
W6-17,6주차,9,통계분석,Supabase 쿼리 기반 통계 데이터 조회,W6-16,대기,2단계 - GROUP BY/COUNT/AVG
W6-18,6주차,9,통계분석,차트 표시 (LiveCharts/OxyPlot),W6-17,대기,2단계 - 타입별/기간별/지역별
W6-19,6주차,9,통계분석,차트 타입 선택 (막대/선/파이),W6-18,대기,2단계 - 인터랙티브 차트
W6-20,6주차,9,통계분석,차트 데이터 툴팁 및 이벤트,W6-19,대기,2단계 - 차트 호버 기능
W6-21,6주차,9,통계분석,통계 Excel 출력,W5-08,대기,2단계 - 통계 데이터 Excel 변환
W6-22,6주차,11,관리자기능,작업 이력 목록 화면,W1-09,대기,2단계 - 수정 이력 표시
W6-23,6주차,11,관리자기능,이력 상세 (변경 전/후 비교),W6-22,대기,2단계 - 데이터 비교 UI
W6-24,6주차,11,관리자기능,되돌리기 처리,W6-23,대기,2단계 - DB ROLLBACK
W6-25,6주차,11,관리자기능,설정 관리 화면,W1-09,대기,2단계 - 계산 수식/매핑/환경
W6-26,6주차,11,관리자기능,계산 수식 설정 (편집/추가/삭제),W6-25,대기,2단계 - 수식 파싱 및 검증
W6-27,6주차,11,관리자기능,데이터 매핑 설정,W6-25,대기,2단계 - 엑셀 ↔ DB 매핑 규칙
W6-28,6주차,전체,프로젝트관리,6주차 산출물 정리 및 클라이언트 리뷰,W6-27,대기,주간 보고
W7-01,7주차,전체,QA,전체 기능 테스트,W6-28,대기,2단계 - QA
W7-02,7주차,전체,QA,사용자 시나리오 검증,W7-01,대기,2단계 - 실제 사용 흐름 테스트
W7-03,7주차,3,QA,대량 데이터 처리 성능 테스트 (3000개),W7-01,대기,2단계 - OCR 처리 속도
W7-04,7주차,전체,QA,크로스 환경 테스트 (Windows 10/11),W7-01,대기,2단계 - 환경별 호환성
W7-05,7주차,전체,QA,버그 수정,W7-02,대기,2단계 - 발견된 이슈 해결
W7-06,7주차,전체,QA,성능 최적화,W7-03,대기,2단계 - 로딩 속도 개선
W7-07,7주차,전체,QA,애플리케이션 안정성 검증,W7-05,대기,2단계 - 오류 처리 검증
W7-08,7주차,10,물건관리,대시보드 (통계 카드/차트/빠른 작업),W6-15,대기,2단계 - 메인 대시보드
W7-09,7주차,11,관리자기능,사용자 관리 (생성/수정/삭제),W2-03,대기,2단계 - Supabase Auth 관리
W7-10,7주차,11,관리자기능,역할 할당 및 권한 관리,W7-09,대기,2단계 - PM/평가자/관리자
W7-11,7주차,11,관리자기능,시스템 로그 조회,W6-22,대기,2단계 - 로그 목록/필터/상세
W7-12,7주차,14,시스템통합,C# Windows 애플리케이션 패키징,W7-06,대기,2단계 - Release 빌드/.exe 생성
W7-13,7주차,14,시스템통합,ClickOnce/Inno Setup 설치 프로그램,W7-12,대기,2단계 - 설치 프로그램 생성
W7-14,7주차,14,시스템통합,Auto-Updater.NET 통합,W7-13,대기,2단계 - 자동 업데이트 시스템
W7-15,7주차,14,시스템통합,설치/제거 테스트,W7-13,대기,2단계 - 설치 프로그램 검증
W7-16,7주차,14,시스템통합,설치 매뉴얼 작성,W7-13,대기,2단계 - PDF/Word 문서
W7-17,7주차,14,시스템통합,사용자 교육 자료 작성,W7-16,대기,2단계 - 주요 기능 가이드
W7-18,7주차,전체,배포,최종 안정화 및 배포,W7-15,대기,2단계 - 프로덕션 배포
W7-19,7주차,전체,프로젝트관리,7주차 최종 보고서 및 인수인계,W7-18,대기,프로젝트 완료
